#,Address,WL,Public,$BLOBZ
2,0x242D350f89667D24c96124802be6a1Ac1a5fC660,5,5,5000000
2,0x2435340CC2B4Be9Fa4016fAdAA9e8486C8C2678c,5,5,5000000
2,0x244707237da5C4b07014954bC2973877F5739b97,5,5,5000000
2,0x248B01D2D65F319c45d90e3c09F5680b83338E18,5,5,5000000
2,0x24BdD028322a5999D8A10E480192d8510E88CF7f,5,5,5000000
2,0x24D20F4E413d54Fc5F78b381EE09fbeea1e19A0b,5,5,5000000
2,0x25902857D7cdA9c099A39083251267e137c0D759,5,5,5000000
2,0x25A04Bc7379FAAbc0bE0421DA74191ea51713c8c,5,5,5000000
2,0x25e58696FBC8eB88301Ee06a57f77d9f0715Ec97,5,5,5000000
2,0x25ef5e5004AA06490DdEe465444649857D5315b9,5,5,5000000
2,0x2600A539B907CC897736C9059F6b2d4941aDf37B,5,5,5000000
2,0x262065ce46F223D9A15DD1737B1dE2869Fc21e65,5,5,5000000
2,0x2639bC24f58a366A0986A764304515C0D7f9f921,5,5,5000000
2,0x266819E6C2Bc359EEF9f2F850E3701F56a16E8f7,5,5,5000000
2,0x268EF519eDBf507Ed9fF31a3EaE96c82cBE1bb0b,5,5,5000000
2,0x269EBadc30c245B989aAf5CFd1B07202e156fb7B,5,5,5000000
2,0x2713Cc0aE67Ae09F29563881ab4fd5eb74f272a0,5,5,5000000
2,0x275f16513119F0F9Ab75146fFD97697AC0aEc459,5,5,5000000
2,0x2764F3102510e51a7d3543A09Fd7F49b1d5e2439,5,5,5000000
2,0x2799aaa2c28425B6554914c459da470C5198BC4F,5,5,5000000
2,0x279E03847cA943E6504f284f06b2C4B979ce0198,5,5,5000000
2,0x27bd053afA71C286C024be7B468921C8672724D8,5,5,5000000
2,0x27c1c08A4a12B005DB81521e42e3679710a8C5C8,5,5,5000000
2,0x27D8826D1dB3FcaAf9FE3987B88E555050eD9589,5,5,5000000
2,0x27e32Ef9576dc05F4D08d978106fC16351d4cb0c,5,5,5000000
2,0x27fbA0f365b5Bd48E1dBAaEE9D7bdF6A4F98032A,5,5,5000000
2,0x28091F0613f48258Ad41bf2f79CD5184eA69cdE2,5,5,5000000
2,0x281cAa39D1877057F29BA185a7BdC9B66edAFf87,5,5,5000000
2,0x282d656A9d95c64522F6Bc1a42EE759DE81e8dc0,5,5,5000000
2,0x285185692c524fc3052e1706e0b400428e7F165A,5,5,5000000
2,0x28581D2854fBc981DBC9eA109105D73A70c527E7,5,5,5000000
2,0x286438884Aadabd18058edA12EFE3FDFf840eFf3,5,5,5000000
2,0x28879fFD0Ca2265Dbf31c980aF0e1c3B5A93A610,5,5,5000000
2,0x288A4e70Eba5d4f92e28F8CCc561E9fC947304A1,5,5,5000000
2,0x2895FF2286A610FE63c6412FCf2D46127439FA68,5,5,5000000
2,0x28a62f5c002401683d63Be20f53768f5C1c6E2cF,5,5,5000000
2,0x28baDd4C4603D3FFda223FFf00cDf695402ee4dE,5,5,5000000
2,0x290dB8d204833eA62e25D581cBB472CFe09B876D,5,5,5000000
2,0x29128e764A3959204BcAb02B315ae22e7D1d7BBa,5,5,5000000
2,0x29168cce1A88138e9cdD3aEb509F1DfC6E21a857,5,5,5000000
2,0x291C3063a40e1594A94aE8f5F84A5359936619F7,5,5,5000000
2,0x294505b89F9621FB06E93a47aF70847B2484020b,5,5,5000000
2,0x295A02a6E8c030DDDDb6748e47d88ecEfB2c46CE,5,5,5000000
2,0x29744bD7B37bDe14F74d281D3BAdBE68b299Be5f,5,5,5000000
2,0x29b85b666a45a50C358FE5e43fBbc9FF1bA792E1,5,5,5000000
2,0x2A000BA2E9Dea487455d5C37713AD22D754d68b2,5,5,5000000
2,0x2a2CAE83f1Ff1b537f5d5c5A20C97B0099726AF9,5,5,5000000
2,0x2a68272F9Ed46c0141494b4c7949C3FB40801683,5,5,5000000
2,0x2a8cd414ec33108B67F3Eb45EED9e701FbB1e6Bb,5,5,5000000
2,0x2Abe15781B310e861Bf70d8988DC5b954F9a2b37,5,5,5000000
2,0x2aE7b72b35d9a67c3B20A2C6A4c658f389764843,5,5,5000000
2,0x2B062E868df35D6B9749e3d9062Ab2313B3C1a5f,5,5,5000000
2,0x2B39399cB22f7E2e7b450196f915817DFa6E976C,5,5,5000000
2,0x2b5a0bE5940B63dE1eDdCCCa7bd977357e2488eD,5,5,5000000
2,0x2B627811B0C56BBBB86195aFfAE6702242cF5c82,5,5,5000000
2,0x2B7815fE62d1487b0Eb728cc3bcC7B5a8F9C83a2,5,5,5000000
2,0x2b9A1bC94e76F9f4A8C46eA3CAC701808b1A9df1,5,5,5000000
2,0x2bC92213796e277C4A4C51eE8f186805f0407955,5,5,5000000
2,0x2Bf08f2E7bf56A5aA496ccC0D71a1D86e4b2910a,5,5,5000000
2,0x2Bf7145B9dA25567569C15C57758E6A13BBc00f2,5,5,5000000
2,0x2C21E5bDF5A29C6D6Dc89838C4815B539f9f8B89,5,5,5000000
